id,module,title,start,end,status,progress,notes,updated_at
T34B059-MMBGPED0,Backend,Invoice API,2026-05-14,2026-05-17,Todo,0,,2026-03-04 10:13:28
T29AA26-MMBGPED0,Backend,Marketing/Lead API,2026-05-18,2026-05-20,Todo,0,,2026-03-04 10:13:28
TD9E9F3-MMBGPED0,Backend,Dashboard API (KPI/revenue),2026-05-21,2026-05-24,Todo,0,,2026-03-04 10:13:28
TB3A580-MMBGPED0,Frontend,Setup NextJS repo + routing,2026-05-25,2026-05-27,Todo,0,,2026-03-04 10:13:28
TFF5FFE-MMBGPED0,Frontend,Layout CRM (sidebar/header/auth guard),2026-05-27,2026-05-30,Todo,0,,2026-03-04 10:13:28
T954657-MMBGPED0,Frontend,Customer UI (list/detail/form) + connect API,2026-05-31,2026-06-04,Todo,0,,2026-03-04 10:13:28
TE6738B-MMBGPED0,Frontend,Booking UI (calendar + create) + connect API,2026-06-05,2026-06-07,Todo,0,,2026-03-04 10:13:28
TD780B8-MMBGPED0,Frontend,Invoice/Payment UI + connect API,2026-06-08,2026-06-10,Todo,0,,2026-03-04 10:13:28
T51B6DA-MMBGPED0,Frontend,Marketing UI + connect API,2026-06-11,2026-06-13,Todo,0,,2026-03-04 10:13:28
T109CB3-MMBGPED0,Frontend,Dashboard UI + connect API,2026-06-14,2026-06-15,Todo,0,,2026-03-04 10:13:28
T4B4A70-MMBGPED0,Testing,Integration FE-BE (fix contract/API),2026-06-16,2026-06-18,Todo,0,,2026-03-04 10:13:28
TC3FB30-MMBGPED0,Testing,Test flow Customer end-to-end,2026-06-19,2026-06-21,Todo,0,,2026-03-04 10:13:28
T969EA5-MMBGPED0,Testing,Test flow Booking/Payment end-to-end,2026-06-21,2026-06-23,Todo,0,,2026-03-04 10:13:28
T7578E2-MMBGPED0,Testing,Fix bug + polish UI,2026-06-23,2026-06-25,Todo,0,,2026-03-04 10:13:28
TE6259B-MMBGPED0,Deployment,Setup server + env + secrets,2026-06-26,2026-06-27,Todo,0,,2026-03-04 10:13:28
T4DA710-MMBGPED0,Deployment,Deploy backend (Docker/VPS),2026-06-27,2026-06-28,Todo,0,,2026-03-04 10:13:28
TFD4CA7-MMBGPED0,Deployment,Deploy frontend (Vercel/Netlify),2026-06-28,2026-06-29,Todo,0,,2026-03-04 10:13:28
T1ED891-MMBGPED0,Deployment,Training user + final check,2026-06-29,2026-06-30,Todo,0,,2026-03-04 10:13:28
